tkt=300,Temperaturen_in_1 / 10Grad;:Außentemperatur;:Spannung AC;:Spannung DC;:xxx;
22.05.2023 20:12:30;205;0;641;0;
22.05.2023 20:17:30;205;0;629;0;
22.05.2023 20:22:30;205;0;617;0;
22.05.2023 20:27:30;203;0;604;0;
22.05.2023 20:32:30;202;0;591;0;
22.05.2023 20:37:30;202;0;568;0;
22.05.2023 20:42:30;201;0;554;0;
22.05.2023 20:47:30;193;0;527;0;
22.05.2023 20:52:30;193;0;497;0;
22.05.2023 20:57:30;193;0;480;0;
22.05.2023 21:02:30;193;0;465;0;
22.05.2023 21:07:30;193;0;446;0;
22.05.2023 21:12:30;193;0;435;0;
22.05.2023 21:17:30;191;0;255;0;
22.05.2023 21:22:30;190;0;142;0;
22.05.2023 21:27:30;190;0;142;0;
22.05.2023 21:32:30;189;0;85;0;
22.05.2023 21:37:30;185;0;0;0;
22.05.2023 21:42:30;185;0;0;0;
22.05.2023 21:47:30;185;0;0;0;
22.05.2023 21:52:30;185;0;0;0;
22.05.2023 21:57:30;185;0;0;0;
22.05.2023 22:02:30;185;0;0;0;
22.05.2023 22:07:30;183;0;0;0;
22.05.2023 22:12:30;181;0;0;0;
22.05.2023 22:17:30;181;0;0;0;
22.05.2023 22:22:30;180;0;0;0;
22.05.2023 22:27:30;178;0;0;0;
22.05.2023 22:32:30;178;0;0;0;
22.05.2023 22:37:30;178;0;0;0;
22.05.2023 22:42:30;175;0;0;0;
22.05.2023 22:47:30;174;0;0;0;
22.05.2023 22:52:30;174;0;0;0;
22.05.2023 22:57:30;172;0;0;0;
22.05.2023 23:02:30;171;0;0;0;
22.05.2023 23:07:30;171;0;0;0;
22.05.2023 23:12:30;170;0;0;0;
22.05.2023 23:17:30;170;0;0;0;
22.05.2023 23:22:30;170;0;0;0;
22.05.2023 23:27:30;170;0;0;0;
22.05.2023 23:32:30;168;0;0;0;
22.05.2023 23:37:30;168;0;0;0;
22.05.2023 23:42:30;168;0;0;0;
22.05.2023 23:47:30;166;0;0;0;
22.05.2023 23:52:30;165;0;0;0;
22.05.2023 23:57:30;165;0;0;0;
