tkt=300,Temperaturen_in_1 / 10Grad;:xxx;
01.07.2023 12:03:00;0;
01.07.2023 12:08:00;0;
01.07.2023 12:13:00;0;
01.07.2023 12:18:00;0;
01.07.2023 12:23:00;0;
01.07.2023 12:28:00;0;
01.07.2023 12:33:00;0;
01.07.2023 12:38:00;0;
01.07.2023 12:43:00;0;
01.07.2023 12:48:00;0;
01.07.2023 12:53:00;0;
01.07.2023 12:58:00;0;
01.07.2023 13:03:00;0;
01.07.2023 13:08:00;0;
01.07.2023 13:13:00;0;
01.07.2023 13:18:00;0;
01.07.2023 13:23:00;0;
01.07.2023 13:28:00;0;
01.07.2023 13:33:00;0;
01.07.2023 13:38:00;0;
01.07.2023 13:43:00;0;
01.07.2023 13:48:00;0;
01.07.2023 13:53:00;0;
01.07.2023 13:58:00;0;
01.07.2023 14:03:00;0;
01.07.2023 14:08:00;0;
01.07.2023 14:13:00;0;
01.07.2023 14:18:00;0;
01.07.2023 14:23:00;0;
01.07.2023 14:28:00;0;
01.07.2023 14:33:00;0;
01.07.2023 14:38:00;0;
01.07.2023 14:43:00;0;
01.07.2023 14:48:00;0;
01.07.2023 14:53:00;0;
01.07.2023 14:58:00;0;
01.07.2023 15:03:00;0;
01.07.2023 15:08:00;0;
01.07.2023 15:13:00;0;
01.07.2023 15:18:00;0;
01.07.2023 15:23:00;0;
01.07.2023 15:28:00;0;
01.07.2023 15:33:00;0;
01.07.2023 15:38:00;0;
01.07.2023 15:43:00;0;
01.07.2023 15:48:00;0;
01.07.2023 15:53:00;0;
01.07.2023 15:58:00;0;
01.07.2023 16:03:00;0;
01.07.2023 16:08:00;0;
01.07.2023 16:13:00;0;
01.07.2023 16:18:00;0;
01.07.2023 16:23:00;0;
01.07.2023 16:28:00;0;
01.07.2023 16:33:00;0;
01.07.2023 16:38:00;0;
01.07.2023 16:43:00;0;
01.07.2023 16:48:00;0;
01.07.2023 16:53:00;0;
01.07.2023 16:58:00;0;
01.07.2023 17:03:00;0;
01.07.2023 17:08:00;0;
01.07.2023 17:13:00;0;
01.07.2023 17:18:00;0;
01.07.2023 17:23:00;0;
01.07.2023 17:28:00;0;
01.07.2023 17:33:00;0;
01.07.2023 17:38:00;0;
01.07.2023 17:43:00;0;
01.07.2023 17:48:00;0;
01.07.2023 17:53:00;0;
01.07.2023 17:58:00;0;
01.07.2023 18:03:00;0;
01.07.2023 18:08:00;0;
01.07.2023 18:13:00;0;
01.07.2023 18:18:00;0;
01.07.2023 18:23:00;0;
01.07.2023 18:28:00;0;
01.07.2023 18:33:00;0;
01.07.2023 18:38:00;0;
01.07.2023 18:43:00;0;
01.07.2023 18:48:00;0;
01.07.2023 18:53:00;0;
01.07.2023 18:58:00;0;
01.07.2023 19:03:00;0;
01.07.2023 19:08:00;0;
01.07.2023 19:13:00;0;
01.07.2023 19:18:00;0;
01.07.2023 19:23:00;0;
01.07.2023 19:28:00;0;
01.07.2023 19:33:00;0;
01.07.2023 19:38:00;0;
01.07.2023 19:43:00;0;
01.07.2023 19:48:00;0;
01.07.2023 19:53:00;0;
01.07.2023 19:58:00;0;
01.07.2023 20:03:00;0;
01.07.2023 20:08:00;0;
01.07.2023 20:13:00;0;
01.07.2023 20:18:00;0;
01.07.2023 20:23:00;0;
01.07.2023 20:28:00;0;
01.07.2023 20:33:00;0;
01.07.2023 20:38:00;0;
01.07.2023 20:43:00;0;
01.07.2023 20:48:00;0;
01.07.2023 20:53:00;0;
01.07.2023 20:58:00;0;
01.07.2023 21:03:00;0;
01.07.2023 21:08:00;0;
01.07.2023 21:13:00;0;
01.07.2023 21:18:00;0;
01.07.2023 21:23:00;0;
01.07.2023 21:28:00;0;
01.07.2023 21:33:00;0;
01.07.2023 21:38:00;0;
01.07.2023 21:43:00;0;
01.07.2023 21:48:00;0;
01.07.2023 21:53:00;0;
01.07.2023 21:58:00;0;
01.07.2023 22:03:00;0;
01.07.2023 22:08:00;0;
01.07.2023 22:13:00;0;
01.07.2023 22:18:00;0;
01.07.2023 22:23:00;0;
01.07.2023 22:28:00;0;
01.07.2023 22:33:00;0;
01.07.2023 22:38:00;0;
01.07.2023 22:43:00;0;
01.07.2023 22:48:00;0;
01.07.2023 22:53:00;0;
01.07.2023 22:58:00;0;
01.07.2023 23:03:00;0;
01.07.2023 23:08:00;0;
01.07.2023 23:13:00;0;
01.07.2023 23:18:00;0;
01.07.2023 23:23:00;0;
01.07.2023 23:28:00;0;
01.07.2023 23:33:00;0;
01.07.2023 23:38:00;0;
01.07.2023 23:43:00;0;
01.07.2023 23:48:00;0;
01.07.2023 23:53:00;0;
01.07.2023 23:58:00;0;
